Job Title,Company Name,Language and Tools,City,Province,Type of Work,Seniority
"FCM - Data Quality Analyst- Remote, Canada",FCM,Power BI,Remote,Remote,Remote,Not Applicable
Data Analyst (Street Operations),The City of Vancouver,"Power Bi, Excel, Big Data, Sql",Vancouver,BC,In Person,Not Applicable
RES O 21R - Data Analyst,BC Public Service,"Python, Sql, R",Burnaby,BC,In Person,Not Applicable
Data Analyst,Fraser Health,"Sql, Sas, R, Tableau, Vbscript, Power Bi, Python",Surrey,BC,In Person,Not Applicable
Data Centre Analyst,TransLink,C,Metro Vancouver Regional District,BC,In Person,Not Applicable
Business Configuration Analyst,Medavie Blue Cross,"Power BI, Sql",Remote,Remote,Remote,Not Applicable
Performance Data Analyst (Internal Only),MacEwan University,"Database, Power Bi, Sql",Edmonton,AB,In Person,Not Applicable
Business Intelligence Developer,Novartis,"Power Bi, Sql, Alteryx, Snowflake, Database",Montreal,QC,In Person,Not Applicable
Intermediate Data Support Analyst (6-Month Contract),AGF Management Limited,"Eagle, Sql, Excel, Vba, Database",Toronto,ON,In Person,Mid
Program Data Analyst,Nova Scotia School Boards (NSSB),Excel,Berwick,NS,In Person,Not Applicable
Quantitative Data Analyst,The Mustard Seed Society,"Tableau, Sql, Php, Excel, Power Bi, Python, Vba, R",Calgary,AB,In Person,Not Applicable
Methods Analyst I - Wellness Data Analyst,City of Edmonton,"Power Bi, Excel",Edmonton,AB,In Person,Not Applicable
"Analyst, Local Sales Pricing",SYSCO FOOD SERVICES,"Maple, Excel, Sql",Remote in Moncton,Remote,Hybrid,Not Applicable
Jr. QA Analyst,indikor.com,"Sql, Github, C#, Gitlab, Javascript",Remote,Remote,Remote,Not Applicable
"Analyst, Local Sales Pricing",SYSCO FOOD SERVICES,"Maple, Excel, Sql",Remote in Mount Pearl,Remote,Hybrid,Not Applicable
"Analyst, Local Sales Pricing",SYSCO FOOD SERVICES,"Maple, Excel, Sql",Remote in Milton,Remote,Hybrid,Not Applicable
"Senior Analyst, Data Integration, Methods and Tools",Canadian Institute for Health Information,"Python, R, Machine Learning",Ottawa,ON,In Person,Senior
"Analyst, Local Sales Pricing",SYSCO FOOD SERVICES,"Maple, Excel, Sql",Remote in Boucherville,Remote,Hybrid,Not Applicable
"Business Data Analyst, Reporting & Audit",PartnerRe,"Vba, Sql, Power Bi, Alteryx",Toronto,ON,In Person,Not Applicable
"Analyst, Local Sales Pricing",SYSCO FOOD SERVICES,"Maple, Excel, Sql",Remote in Woodstock,Remote,Hybrid,Not Applicable
Business Systems Analyst (Technical),BMO Financial Group,"Database, Sql",Toronto,ON,In Person,Not Applicable
"Analyst, Local Sales Pricing",SYSCO FOOD SERVICES,"Maple, Excel, Sql",Remote in Ottawa,Remote,Hybrid,Not Applicable
Senior Business Analyst (Data),Healthcare of Ontario Pension Plan (HOOPP),"Snowflake, Sql, Eagle",Toronto,ON,In Person,Senior
Supply Chain & Master Data Analyst,Longo's,"Excel, Factor",Vaughan,ON,In Person,Not Applicable
"Business Analyst Student, Transportation Analytics (12 months) - Fall 2024",Canadian Tire Corporation,"Power Bi, Tableau, Excel, Sql",Mississauga,ON,In Person,Not Applicable
"Analyst, Local Sales Pricing",SYSCO FOOD SERVICES,"Maple, Excel, Sql",Remote in Kelowna,Remote,Hybrid,Not Applicable
"Analyst, Local Sales Pricing",SYSCO FOOD SERVICES,"Maple, Excel, Sql",Remote in Lakeside,Remote,Hybrid,Not Applicable
Business Analyst,TC Energy,"Power Bi, Power Platform",Calgary,AB,In Person,Not Applicable
"Business Data Analyst, Retro Admin",PartnerRe,"Vba, Sql, Alteryx",Toronto,ON,In Person,Not Applicable
"Analyst, Local Sales Pricing",SYSCO FOOD SERVICES,"Maple, Excel, Sql",Remote in Mississauga,Remote,Hybrid,Not Applicable
Blue Box Analyst,Canadian Tire Corporation,"Power Bi, Excel, Sql",Toronto,ON,In Person,Not Applicable
"Business Analyst Student, Courier Operations (12 months) - Fall 2024",Canadian Tire Corporation,"Tableau, Sql, Excel, Power Bi, Python",Mississauga,ON,In Person,Not Applicable
"Analyst, Local Sales Pricing",SYSCO FOOD SERVICES,"Maple, Excel, Sql",Remote in Winnipeg,Remote,Hybrid,Not Applicable
"Analyst, Global Investment Banking, Global Diversified Industries",CIBC,Excel,Toronto,ON,In Person,Not Applicable
"Analyst, Local Sales Pricing",SYSCO FOOD SERVICES,"Maple, Excel, Sql",Remote in Regina,Remote,Hybrid,Not Applicable
Business Intelligence Consulting Associate - Summer 2025,RSM US LLP,"Sql, Database, Excel, SQL, Html, Database",Vancouver,BC,In Person,Not Applicable
