Job Title,Company Name,Language and Tools,City,Province,Type of Work,Seniority
"Analyst, Workforce Planning",Element Fleet Management,"Excel, Power Bi",Mississauga,ON,In Person,Not Applicable
EDI Data Analyst,Jewish Family and Child Service,Unknown,Toronto,ON,In Person,Not Applicable
Business Analyst 7605-2415,Foilcon,"Power BI, Excel",Toronto,ON,In Person,Not Applicable
Business Analyst (Junior) 7618-0314,Foilcon,"Excel, Gap",Toronto,ON,In Person,Junior
Inventory Analyst,"Portland Tractor, Inc.",Excel,Langley,BC,In Person,Not Applicable
Business Analyst,Eperformance Inc.,"Sql, Ssrs",Ottawa,ON,In Person,Not Applicable
CATEGORY ANALYST,Groupe Leclerc,Unknown,Remote,Remote,Remote,Not Applicable
Business Intelligence (BI) Specialist,"Hi-Flyer Food (Canada), Inc.","Sql, Database",Calgary,AB,In Person,Not Applicable
Sr. Data Analyst,"Railserve, Inc.","Tableau, Sql, Power Bi, Python, R",Edmonton,AB,In Person,Not Applicable
Continuous Improvement Analyst,Gay Lea Foods,Excel,Teeswater,ON,In Person,Not Applicable
"Senior Business Analyst, Sales & Service (CPQ/CRM) - Georgetown, Ontario",Mold-Masters,"Jira, Sales, Salesforce, DevOps, Business analysis",Georgetown,ON,In Person,Senior
Data Analyst,Toronto Transit Commission,"Python, No SQL, Power BI, SQL, Microsoft Access",Toronto,ON,In Person,Not Applicable
Commercial Analyst,Ceva Animal Health,"SQL, JD Edwards, Salesforce, Statistics, Python",Guelph,ON,In Person,Not Applicable
Data Analyst,Shivansh Outsourcing,"Power BI, SQL, SQL, Statistics, Organizational skills",Toronto,ON,In Person,Not Applicable
Data Analyst,Mindshare,"Relational databases, R, Omniture, Office Suite, Tableau",Toronto,ON,In Person,Not Applicable
"Market Research Analyst (Full Time) Windsor, ON",Big Time Tickets Inc,"No SQL, Google Suite, Pricing, SQL, Purchasing",London,ON,In Person,Not Applicable
"FCM - Data Quality Analyst- Remote, Canada",FCM,Power BI,Remote,Remote,Remote,Not Applicable
E-Commerce Data Analyst,New Directions Aromatics Inc.,"Power BI, SQL, Order management system, Sales, Merchandising",Mississauga,ON,In Person,Not Applicable
Senior Data and Insights Analyst,BCAA,"Python, Power BI, SQL, Microsoft Outlook, R",Burnaby,BC,In Person,Senior
"Senior Analyst, Internal Audit",QuadReal,"Power BI, Financial auditing, Tableau, Change management, Project management",Calgary,AB,In Person,Senior
"Senior Business Analyst, IT",Canaccord Genuity Corp.,"Jira, Business analysis, Python, SQL, Data management",Montreal,QC,In Person,Senior
"Analyst - Performance, Wind energy",Innergex,"Bilingual, Tableau, MATLAB, Writing skills, Python",Longueuil,QC,In Person,Not Applicable
Data Insights Analyst,BAM Strategy,"Bilingual, Tableau, Power BI, SQL, SAS",Remote,Remote,Remote,Not Applicable
Electrical research engineer (Power Market Analyst and Data Scientist ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ NOC 21310),Arcus Power Corp,"CI/CD, Azure, Git, Python, SQL",Calgary,AB,In Person,Not Applicable
"Senior Developer, Business Intelligence",Ontario Health,"Tableau, Power BI, Azure, Business intelligence, SAS",Toronto,ON,In Person,Senior
Sr. IT Data Analyst,TD Bank,"Python, No SQL, Power BI, SQL, Project management",Toronto,ON,In Person,Not Applicable
Data Analyst,SnapPay,"R, Business analysis, Statistics, Process improvement, Visio",Mississauga,ON,In Person,Not Applicable
Business Development Data Analyst - Remote Work,BairesDev,Unknown,Vancouver,BC,In Person,Not Applicable
Data Insight and Reporting Analyst,HomeEquity Bank,"SQL, SQL, Presentation skills, Analytics",Toronto,ON,In Person,Not Applicable
Operations Data Analyst,Arctiq,"Power BI, Data modeling, SQL, R, Quality management",Toronto,ON,In Person,Not Applicable
Data Analyst - Informatics and Systems,Snaplii,"Statistics, Power BI, SQL, Data mining, XML",Mississauga,ON,In Person,Not Applicable
Business Intelligence Analyst (Two positions available),Farm Credit Canada,"Statistics, Computer science, Python, Research, Statistics",Regina,SK,In Person,Not Applicable
Bilingual Servicing Analyst,BMO Financial Group,"Bilingual, Tableau, Filing, Python, Statistics",Montreal,QC,In Person,Not Applicable
Data Analyst & BI Specialist,UniUni (Uni Express Inc.),"Statistics, Business analysis, Statistics, SQL, AWS",Remote,Remote,Remote,Not Applicable
Inventory Analyst,"Portland Tractor, Inc.","Sage, SQL, Microsoft Access, Statistics, Office Suite",Langley,BC,In Person,Not Applicable
Business Data Analyst,Dawn InfoTek Inc.,"Computer science, Azure, Business analysis, Google Cloud Platform, AWS",Toronto,ON,In Person,Not Applicable
"Data Analyst, Business Intelligence",Bell,"Tableau, Oracle, SAS, SQL, SQL",Toronto,ON,In Person,Not Applicable
IT Business Systems Analyst,Greenfire Resources Operating Corporation,"Oracle, Oil & gas, Business analysis, SQL, Windows",Fort McMurray,AB,In Person,Not Applicable
Part-time Data Quality Analyst (Fraud Investigation),owl.co,"Research, Natural language processing, Typing, No SQL",Toronto,ON,In Person,Not Applicable
Sustainability Analyst,KeeWee,"SQL, Oil & gas, Statistics, SQL, Python",Remote,Remote,Remote,Not Applicable
Career Re-Entry - Operations Training Reporting Analyst V,Enbridge,"Power BI, Data structures, Oil & gas, SQL, Statistics",Edmonton,AB,In Person,Not Applicable
Data Analyst,KF Aerospace,"Power BI, Data modeling, SQL, SQL, Statistics",Kelowna,BC,In Person,Not Applicable
Power BI Developer | Data Analyst,Silver Gold Bull Inc.,"Power BI, SQL, Magento, E-commerce, SQL",Calgary,AB,In Person,Not Applicable
Reporting and Business Intelligence Analyst,Radiant Canada,"Power BI, Data modeling, SQL, Data mining, Business intelligence",Mississauga,ON,In Person,Not Applicable
Data Analyst Intern,Klue,"SQL, Python",Vancouver,BC,In Person,Not Applicable
Game Data Analyst,Prodigy Education,"Statistics, Python, SQL, Statistics, No SQL",Midtown Toronto,ON,In Person,Not Applicable
Data Analyst,Birchwood,"Power BI, SQL, Statistics, Disaster recovery, SQL",Winnipeg,MB,In Person,Not Applicable
Data Analyst,Sri Technosoft Solutions,"Power BI, Business intelligence, Business analysis, Statistics, Tableau",Edmonton,AB,In Person,Not Applicable
Data analyst intern,American Iron and Metal,"SQL, Microsoft Access, Maximo, Statistics, No SQL",Montreal,QC,In Person,Not Applicable
RES O 21R - Data Analyst,BC Public Service,"Computer science, R, SQL, Python",Burnaby,BC,In Person,Not Applicable
DEVELOPER / DATA ANALYST,AXIS Database Marketing,"No SQL, SQL, Microsoft Access, Visual Basic, Database development",Mississauga,ON,In Person,Not Applicable
"Data Analyst, BORN Ontario, Temporary Full-Time (1.0)",CHEO,"Bilingual, Tableau, Statistical software, Computer science, SQL",Ottawa,ON,In Person,Not Applicable
Data Analyst,Cabela's,"No SQL, Power BI, SQL, Microsoft Outlook, Visual Basic",Winnipeg,MB,In Person,Not Applicable
C-GE-916 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Data Analyst,CAE,"Power BI, Confluence, No SQL",Saint-Laurent,QC,In Person,Not Applicable
Quantitative Data Analyst,The Mustard Seed Society,"Statistics, Power BI, SQL, Microsoft Outlook, Business intelligence",Calgary,AB,In Person,Not Applicable
"Business Intelligence Analyst Toronto, Canada Commercial","Rothmans, Benson & Hedges Inc","Computer science, Power BI, SQL, Salesforce, Databases",Toronto,ON,In Person,Not Applicable
Procurement Data Analyst,Mitsubishi Electric Sales Canada Inc.,"Python, Sourcing, Power BI, SQL, Procurement",Markham,ON,In Person,Not Applicable
Data Analyst and BI Developer - Toronto (Insurance),Trisura Guarantee Insurance Company,"Power BI, Data modeling, SSRS, Databases, Database design",Toronto,ON,In Person,Not Applicable
Data Analyst - Product,Appcast,"Statistics, SQL, Statistics, Tableau, SQL",Fredericton,NB,In Person,Not Applicable
Business Analyst,TripNinja,"Power BI, SQL, AWS, Statistics, Presentation skills",Remote,Remote,Remote,Not Applicable
Data Analyst,Fraser Health,"Statistical software, Power BI, Visual Basic, SAS, R",Surrey,BC,In Person,Not Applicable
Data Analyst (Street Operations),The City of Vancouver,"Power BI, SQL, Statistics, SQL, Statistics",Vancouver,BC,In Person,Not Applicable
"Analyst, Data Integrity",Allied,"Tableau, Power BI, SQL, ERP systems, Yardi",Toronto,ON,In Person,Not Applicable
Junior Business Support Analyst,Intelligent Hospitality,Analytics,Remote,Remote,Remote,Junior
Senior Data Analyst,Scene+,"Tableau, SQL, Presentation skills, Machine learning, No SQL",Toronto,ON,In Person,Senior
Geophysicist/Data Analyst,Sander Geophysics Limited,Computer skills,Ottawa,ON,In Person,Not Applicable
Business Analyst Position (Remote),Saint Laurent Consulting,"Power BI, SQL, SAP, Supply chain, Statistics",Remote,Remote,Remote,Not Applicable
Data Analyst,Runnymede Healthcare Centre,"Microsoft Windows Server, Python, No SQL, Adobe Photoshop, SQL",Toronto,ON,In Person,Not Applicable
"Business Data Analyst, Retro Admin",PartnerRe,"Tableau, Alteryx, Office Suite, SQL, Quality assurance",Toronto,ON,In Person,Not Applicable
Inventory Data Analyst,Leavitt Machinery Canada Inc.,"Power BI, SQL, ERP systems, Tableau, SQL",Coquitlam,BC,In Person,Not Applicable
Sr. Data Analyst,"Railserve, Inc.","Computer science, Power BI, R, Statistics, Tableau",Edmonton,AB,In Person,Not Applicable
"Business Analyst, Business Intelligence (BI) - Belron Canada",Belron Canada,"Bilingual, Tableau, Power BI, Azure, Business intelligence",Montreal,QC,In Person,Not Applicable
Data & Systems Analyst,Aecon Group,"Power BI, SQL, Statistics, Data analytics, Organizational skills",Toronto,ON,In Person,Not Applicable
Senior Data Analyst,American Tall,"Pricing, Azure, R, Statistics, Google Cloud Platform",Mississauga,ON,In Person,Senior
EDI Data Analyst,Jewish Family and Child Service,"Tableau, Russian, Presentation skills, Data management, Data entry",Toronto,ON,In Person,Not Applicable
Project Controls Analyst,Thermo Design Engineering Ltd,"Python, No SQL, Cost management, Power BI, Sage",Edmonton,AB,In Person,Not Applicable
business data analyst,Accencis Group,"Agile, iOS, Python, Statistics, Project management software",Richmond Hill,ON,In Person,Not Applicable
Data Centre Analyst,TransLink,"Data center experience, Enterprise architecture, Computer hardware, IT",Vancouver,BC,In Person,Not Applicable
Business Development Data Analyst - Remote Work,BairesDev,Unknown,Calgary,AB,In Person,Not Applicable
Data Analyst,University of Saskatchewan,"Power BI, Data modeling, SQL, Business analysis, Research",Saskatoon,SK,In Person,Not Applicable
Data Analyst - KENWAVE SOLUTIONS INC.,Kenaidan Contracting Ltd,"Statistics, MATLAB, Signal processing, SQL, Machine learning",Mississauga,ON,In Person,Not Applicable
Data Analyst,Canadian Nuclear Laboratories,"ArcGIS, SQL, SQL, Database design, Presentation skills",Port Hope,ON,In Person,Not Applicable
Binance Accelerator Program - Data Analyst (Risk),Binance,"Bilingual, Agile, Statistics, Python, SQL",Remote,Remote,Remote,Not Applicable
Data Analyst,CAPREIT,"Jira, Power BI, SQL, Data structures, Yardi",Toronto,ON,In Person,Not Applicable
Continuous Improvement/Business Analyst,FleetOptics Inc,"Tableau, Power BI, SQL, Logistics, Process improvement",Mississauga,ON,In Person,Not Applicable
Business Analyst/Quality Assurance Analyst,DLL,"Jira, No SQL, SAFe, SQL, Microsoft Outlook",Burlington,ON,In Person,Not Applicable
ICQA Data Analyst,"Amazon Canada Fulfillment Services, ULC.","SQL, Data mining, Office Suite, Project management",Cambridge,ON,In Person,Not Applicable
Infrastructure Data Analyst,City of Markham,"ArcGIS, AutoCAD, SQL, Statistics, Pivot tables",Markham,ON,In Person,Not Applicable
Senior Data Analyst,Clutch Technologies Inc.,"Pricing, Tableau, SQL, Data visualization, No SQL",Etobicoke,ON,In Person,Senior
Summer/Fall Co-op- Analyst,Canadian Cannabis Exchange Ltd.,"Office Suite, Data analytics, Computer skills, No SQL, Time management",Calgary,AB,In Person,Not Applicable
Data Analyst,Value Partners Investments,"Power BI, R, Tableau, SQL, Scripting",Winnipeg,MB,In Person,Not Applicable
Data and Business Intelligence Analyst,University of Toronto,"Power BI, SQL, Business intelligence, Statistics, SQL",Toronto,ON,In Person,Not Applicable
Business Analyst - Hybrid,CarltonOne,"Supply chain, Process improvement, NetSuite, Software development, Web services",Markham,ON,In Person,Not Applicable
Information Analyst - Data Quality,eHealth Saskatchewan,"Power BI, Statistics, Office Suite, Databases, Change management",Regina,SK,In Person,Not Applicable
Data Analyst / Analyste de donnÃƒÆ’Ã‚Â©es,FlightHub,"Statistical software, SQL, Sales, Customer service, SQL",Montreal,QC,In Person,Not Applicable
Business System Analyst -Data Engineer,Zortech Solutions,"Oracle, SQL, Data warehouse, Python, Hadoop",Toronto,ON,In Person,Not Applicable
Supply Chain Data Analyst,City of Calgary,"Python, No SQL, Statistics, Computer science, Power BI",Calgary,AB,In Person,Not Applicable
Data Analyst with Python and ETL,Scotiabank,"Computer science, Elasticsearch, Kubernetes, XML, Statistics",Toronto,ON,In Person,Not Applicable
Senior System Business Analyst,Imperial Dade,"Bilingual, Tableau, SQL, ERP systems, Python",Saint-Laurent,QC,In Person,Senior
"Data System Analyst (need -Snowflake, Hadoop, ETL) @ Markham - Hybrid - long Term",Atlantis IT group,"Performance tuning, Computer science, Oracle, XML, SAS",Toronto,ON,In Person,Not Applicable
Engineering Project Data Analyst,CMC ÃƒÆ’Ã¢â‚¬Â°lectronique,"Jira, Power BI, SQL, Primavera, Tableau",Montreal,QC,In Person,Not Applicable
Data Analyst,ITK,"Tableau, Computer operation, Word processing, Statistics, Python",Ottawa,ON,In Person,Not Applicable
Business Analyst - 355 - Remote,Voyageur Aviation Corp,"Python, No SQL, Power BI, SQL, Statistics",North Bay,ON,In Person,Not Applicable
Data Systems Analyst,Riverdale Poultry,"Computer operation, Power BI, SQL, R, Statistics",Kitchener,ON,In Person,Not Applicable
Business Analyst ( Data Mining ),Atlantis IT group,"Jira, Data mining, Python, Presentation skills, No SQL",Toronto,ON,In Person,Not Applicable
Business Analyst,Dawn InfoTek Inc.,"Jira, Power BI, SQL, Office Suite, SQL",Scarborough,ON,In Person,Not Applicable
Technical Data Analyst,CNOOC International,"ArcGIS, Power BI, SQL, R, Data management",Calgary,AB,In Person,Not Applicable
Data Analyst,Atlantis IT group,"SAP, Tableau, SQL, Statistics, Organizational skills",Winnipeg,MB,In Person,Not Applicable
Business Analyst -Pharmacy,Atlantis IT group,"Business analysis, Statistics, No SQL",Toronto,ON,In Person,Not Applicable
Program Data Analyst,Nova Scotia School Boards (NSSB),"No SQL, SQL, Microsoft Outlook, SAP, Filing",Berwick,NS,In Person,Not Applicable
Business Analyst,CBIG- Canadian Benefits Invst & Ins Grp,"Python, No SQL, SQL, Microsoft Outlook, Sales",Prince George,BC,In Person,Not Applicable
Treasury Data Analyst,GFL Environmental,"Crystal Reports, SQL, Microsoft Access, JD Edwards, DB2",Vaughan,ON,In Person,Not Applicable
Data Analyst - Regular Full-Time,District of Squamish,"Computer science, Customer service, System architecture, Databases, SQL",Squamish,BC,In Person,Not Applicable
Data & Insights Analyst/Analyste de donnÃƒÆ’Ã‚Â©es et perspectives,World Anti-Doping Agency,"Bilingual, Tableau, Statistics, Spanish, Power BI",Montreal,QC,In Person,Not Applicable
"Data Analyst, BORN Ontario, Permanent Full Time (1.0) / Analyste de donnÃƒÆ’Ã‚Â©es, BORN Ontario - Poste ÃƒÆ’Ã‚Â  temps plein (1,0)",CHEO,"Bilingual, Tableau, Statistical software, Computer science, SQL",Ottawa,ON,In Person,Not Applicable
Copy of Data Analyst and Solution Developer,INLAN,"Databases, C++, Machine learning, Python",Remote,Remote,Remote,Not Applicable
Business Analyst,Canadian Nuclear Laboratories,"Power BI, SQL, Primavera, Quality management, Office Suite",Remote,Remote,Remote,Not Applicable
Business Intelligence Analyst/Developer,Progi,"Power BI, Cloud infrastructure, SQL, Azure, C#",Remote,Remote,Remote,Not Applicable
Programs Data Analyst,Owen Sound Family Health Team,"Data mining, Customer service, Statistics, Office Suite, Database management",Owen Sound,ON,In Person,Not Applicable
Business Intelligence Analyst,Autodesk,"Tableau, Power BI, Data modeling, Business intelligence, D3.js",Toronto,ON,In Person,Not Applicable
Signal Processing Engineer and Data Analyst,INLAN,Databases,Remote,Remote,Remote,Not Applicable
IT Business Analyst,Roots,"Oracle, No SQL",Toronto,ON,In Person,Not Applicable
Intermediate Data Support Analyst (6-Month Contract),AGF Management Limited,"Investment, SQL, Relational databases, Maintenance, Bloomberg",Toronto,ON,In Person,Mid
Business Analyst,"SupplyOne Canada, Inc.","Power BI, SQL, Azure, APIs, No SQL",Brampton,ON,In Person,Not Applicable
Senior Technical Business Analyst,Canadian Cancer Society,"No SQL, SQL, Microsoft Outlook, Salesforce, Visio",Halifax,NS,In Person,Senior
Staff Data Analyst,HelloFresh,"SQL, Tableau, SQL, Statistical analysis, Statistics",Toronto,ON,In Person,Not Applicable
Data Analyst and Reporting Tools Developer,Fidelity Investments,"Power BI, SQL, Microsoft Access, Business analysis, Tableau",Toronto,ON,In Person,Not Applicable
Strategic Data Analyst,Element Fleet Management,"Cognos, Crystal Reports, Power BI, SQL, Microsoft Access",Mississauga,ON,In Person,Not Applicable
Business Data Analyst,Scotiabank,"Python, No SQL, SQL, Big data, Business analysis",Toronto,ON,In Person,Not Applicable
DATA ANALYST,HKJ Marketing,"SQL, Business intelligence, R, Tableau, SQL",Vancouver,BC,In Person,Not Applicable
Advanced Data Analyst - Frostbite,Electronic Arts,"Statistics, Power BI, Azure, Google Cloud Platform, SQL",Vancouver,BC,In Person,Senior
Supply Chain BI Solutions Analyst,Pet Valu,"Cognos, Computer science, Power BI, SQL, Microsoft Outlook",Midtown Toronto,ON,In Person,Not Applicable
Healthcare Research & Data Analyst- Medtech Insights,Clarivate,"SQL, Statistics",Toronto,ON,In Person,Not Applicable
Business System Analyst -Data Engineer,Esolutions,"Oracle, SQL, Data warehouse, Python, Hadoop",Toronto,ON,In Person,Not Applicable
Business Analyst/Data Analyst,Swiss RE,"Power BI, Oracle, Waterfall, Relational databases, Data structures",Toronto,ON,In Person,Not Applicable
Business Analyst,BMO Financial Group,"SQL, Statistics, Agile, Test cases, Business requirements",Toronto,ON,In Person,Not Applicable
Senior Data Analyst,Electronic Arts,"Power BI, Big data, Tableau, SQL, A/B testing",Toronto,ON,In Person,Senior
data analyst - informatics and systems,SULYMON GLOBAL INC.,"Oracle, Python, SQL, Computer skills, Python",North York,ON,In Person,Not Applicable
Oracle ERP Data Analyst ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Reconciliation Specialist,AstraNorth,"Power BI, SQL, Oracle, Supply chain, R",Brampton,ON,In Person,Not Applicable
business data analyst,Siga Home Comfort Inc.,Python,North York,ON,In Person,Not Applicable
Senior Data Analyst,SickKids,"Statistics, SAS, R, SQL, Machine learning",Toronto,ON,In Person,Senior
"Analyst, Data valorization",Desjardins,"Tableau, Statistics",Montreal,QC,In Person,Not Applicable
"Analyst, Data",Aecon Group,"Power BI, SAP, Spark, R, Primavera",Toronto,ON,In Person,Not Applicable
Data Analyst (Programming Team),NMG Consulting,"Python, Power BI, SAS, R, Research",Toronto,ON,In Person,Not Applicable
Inside Sales Rep & Junior Business Analyst,Amsterdam Brewery,"Computer science, Customer service, Call center, No SQL",Toronto,ON,In Person,Junior
Python Data Analyst,TV2 Consulting,"Natural language processing, Data analytics, APIs, Python, Analytics",Toronto,ON,In Person,Not Applicable
business data analyst,Edgerise Consulting INC.,"Python, Quality assurance, Usability, Project implementation, IT",Kitchener,ON,In Person,Not Applicable
Data Engineering Analyst,Seaspan ULC,"Performance tuning, Data modeling, Azure, DevOps, Spark",North Vancouver,BC,In Person,Not Applicable
Variable Data Programmer - Analyst,Formost mediaOne,"SQL, Microsoft Outlook, XML, Visual Basic, Adobe Illustrator",Brampton,ON,In Person,Not Applicable
business data analyst,tomato e-commerce Inc,"SQL, ADP, Python, Office Suite, Statistics",Scarborough,ON,In Person,Not Applicable
Business Intelligence Analyst (Remote - Canada),Yelp,"Statistics, Data modeling, Business intelligence, Tableau, SQL",Remote,Remote,Remote,Not Applicable
Senior Data Engineering Analyst,Loblaw Companies Limited,"Jira, Statistics, Computer science, Data mining, Relational databases",Brampton,ON,In Person,Senior
data analyst - informatics and systems,Systematic Squad Inc.,"Python, No SQL",Calgary,AB,In Person,Not Applicable
Methods Analyst I - Wellness Data Analyst,City of Edmonton,"Power BI, SQL, Microsoft Access, Business intelligence, Business analysis",Edmonton,AB,In Person,Not Applicable
Program/Data Analyst,AppleOne,"No SQL, SQL, Microsoft Outlook, Project planning, Writing skills",Vancouver,BC,In Person,Not Applicable
Continuous Improvement Analyst,Gay Lea Foods,"Python, SQL, Supply chain, Visio, Change management",Teeswater,ON,In Person,Not Applicable
"Analyst, Human Resources Analytics",Ontario Health,"Tableau, SQL, Data mining, Statistics, Human resources",Toronto,ON,In Person,Not Applicable
Human Resources Systems Analyst,Dexterra Group,"SQL, Financial auditing, ADP, HRIS",Toronto,ON,In Person,Not Applicable
BI Analyst,Fusemachines,"Computer science, Power BI, Data modeling, Business intelligence, Tableau",Remote,Remote,Remote,Not Applicable
Technical Analyst II,Benevity,"FTP, SFTP, Pentaho, XML, SQL",Calgary,AB,In Person,Not Applicable
Developpeur Power-BI SÃƒÆ’Ã‚Â©nior,CGI,"Jira, Power BI, Agile, Cloud computing, Chef",Montreal,QC,In Person,Not Applicable
"Senior Data System Analyst ( Snowflake, Hadoop, ETL , Informatica)",Atlantis IT group,"Performance tuning, Computer science, Oracle, XML, SAS",Markham,ON,In Person,Senior
Senior Business Analyst,Blacksmith Agency,"Keyword research, Business analysis, Python, Research, Taxonomy",Remote,Remote,Remote,Senior
"Analyst, Business Intelligence",Bell,"Jira, Bilingual, Tableau, Pegasystems, Data modeling",Toronto,ON,In Person,Not Applicable
Enterprise Data Analyst,Workstream,"Salesforce, Statistics, Tableau, SQL, Business development",Vancouver,BC,In Person,Not Applicable
Media Analyst,Babylist,"SQL, Data mining, Sales, SQL, Content strategy",Remote,Remote,Remote,Not Applicable
"DATA QUALITY ANALYST, TFT",Niagara Health System,"Crystal Reports, Writing skills, Office Suite, Statistics, Computer skills",St. Catharines,ON,In Person,Not Applicable
business data analyst,Tecqify Solutions Inc,Python,Abbotsford,BC,In Person,Not Applicable
Global Data Analyst,Dentons,"Azure, Node.js, React, DevOps, C#",Remote,Remote,Remote,Not Applicable
business data analyst,Infin8 Brands Inc,Python,Markham,ON,In Person,Not Applicable
Business Analyst,Windsor Essex Community Housing Corporation,"Computer operation, Power BI, SQL, Yardi, SQL",Windsor,ON,In Person,Not Applicable
Business Analyst,Windsor Essex Community Housing Corporation,"Computer operation, Power BI, SQL, Yardi, SQL",Windsor,NS,In Person,Not Applicable
Business Analyst,Windsor Essex Community Housing Corporation,"Computer operation, Power BI, SQL, Yardi, SQL",Windsor,QC,In Person,Not Applicable
Senior Data Analyst,OGGN Inc.,"Bilingual, Tableau, Azure, Business intelligence, SAS",Remote,Remote,Remote,Senior
Business System Analyst - Data Engineer,AstraNorth,"Oracle, SQL, Data warehouse, Python, Hadoop",Toronto,ON,In Person,Not Applicable
GenAI Business Analyst,Paralucent,"R, Research, Tableau, Statistics, Project management",Remote,Remote,Remote,Not Applicable
data analyst - informatics and systems,Snappay Inc.,"Python, SASS, Computer skills, Linux, Data warehouse",Mississauga,ON,In Person,Not Applicable
Business Analyst,AlertDriving,"Project management, Contracts, Project management methodology, LMS, Business requirements",Toronto,ON,In Person,Not Applicable
Product Analyst,Absorb Software,"Jira, Computer science, Power BI, R, Statistics",Remote,Remote,Remote,Not Applicable
Business Analyst,Tekshapers Inc,"Data modeling, Statistics, SQL, AWS, Hadoop",Toronto,ON,In Person,Not Applicable
"Associate PM/Business Analyst (Open to North, Central, and South America)",Function Health,"Jira, Power BI, SQL, Business analysis, Google Cloud Platform",Remote,Remote,Remote,Not Applicable
Business Analyst,Cargojet Airways LTD.,"No SQL, Power BI, SQL, Financial auditing, ERP systems",Mississauga,ON,In Person,Not Applicable
information technology (IT) data analyst,Six side Logistics,"Python, No SQL",Mississauga,ON,In Person,Not Applicable
Business Data Analyst,Dawn InfoTek Inc.,"Computer science, Azure, Business analysis, Google Cloud Platform, AWS",Toronto,ON,In Person,Not Applicable
Part-time Data Quality Analyst (Fraud Investigation),owl.co,"Research, Natural language processing, Typing, No SQL",Toronto,ON,In Person,Not Applicable
Data Analyst and Artificial Intelligence (AI) Instructor,Willis College,"TensorFlow, R, Java, SQL, Machine learning",Remote,Remote,Remote,Not Applicable
Senior Data Management Process Analyst,TD Bank,"Computer operation, Office Suite",Toronto,ON,In Person,Senior
Senior Technical Business Analyst,Canadian Cancer Society,"No SQL, SQL, Microsoft Outlook, Salesforce, Visio",Hamilton,ON,In Person,Senior
data analyst - informatics and systems,RAENAN CONSULTANCY INC.,Python,Brampton,ON,In Person,Not Applicable
Research Analyst,Insurance Bureau of Canada,"SQL, Research, Statistics, Presentation skills, Pivot tables",Toronto,ON,In Person,Not Applicable
"Business Data Analyst, Product",EXL Services,SQL,Toronto,ON,In Person,Not Applicable
Data Analyst / Modeler Advisory,Scotiabank,"Performance tuning, Data modeling, XML, Data structures, Apache Hive",Toronto,ON,In Person,Not Applicable
business data analyst,AG Marketing & Development Group Inc,"Python, Windows, Office Suite, Computer skills",Mississauga,ON,In Person,Not Applicable
data warehouse analyst,I Tech Computer INC,"iOS, SQL, Python, Windows, Office Suite",Markham,ON,In Person,Not Applicable
Data Analyst (Level 2),Intero Integrity,Statistics,Toronto,ON,In Person,Not Applicable
business data analyst,TAYLOR & MERGUI PROFESSIONAL CORPORATION.,Python,North York,ON,In Person,Not Applicable
Health Records Data Analyst - Health Records (CEN),Scarborough Health Network,"No SQL, Crystal Reports, SQL, Customer service, Office Suite",Scarborough,ON,In Person,Not Applicable
business data analyst,IRIS R&D Group Inc.,"Python, Statistics",Burlington,ON,In Person,Not Applicable
Data Analyst-Operational Data Lake,Citco,"Jira, Power BI, Azure, Big data, Spark",Halifax,NS,In Person,Not Applicable
Quality Assurance Analyst,Mimigo Canada,"Node.js, Test automation, Selenium, Statistics, Quality assurance",Markham,ON,In Person,Not Applicable
data analyst - informatics and systems,NPV Advisory and Consultancy INC.,Python,Burlington,ON,In Person,Not Applicable
Data Management Analyst,Leonardo DRS,"CAD, Data management, Computer skills",Bedford,QC,In Person,Not Applicable
HR Data Analyst / Generalist,Equifax,"Bilingual, Tableau, Google Suite, Python, Human resources",Toronto,ON,In Person,Not Applicable
Business Analyst (BSA),Atlantis IT group,"Power BI, Google Cloud Platform, Tableau, IT",Mississauga,ON,In Person,Not Applicable
Junior Analyst,Paris Jewellers,"Python, No SQL, Google Suite, Google Docs, SQL",Edmonton,AB,In Person,Junior
Senior Business Data Analyst,Ontario Securities Commission,"Cognos, Crystal Reports, Business intelligence, R, Tableau",Toronto,ON,In Person,Senior
Analyste de la chaÃƒÆ’Ã‚Â®ne d'approvisionnement / Supply Chain Analyst,Altius Spices & Seasonings Inc.,"Bilingual, Tableau, Supply chain, ERP systems, Python",Baie-d'Urfe,QC,In Person,Not Applicable
Business Intelligence Data Engineer,"Maximus Services, LLC","Statistics, Power BI, R, Databases, SQL",Toronto,ON,In Person,Not Applicable
Senior Business Analyst (Data),Healthcare of Ontario Pension Plan (HOOPP),"Computer science, Business intelligence, SAP HANA, SAP, Databases",Toronto,ON,In Person,Senior
Policy Analyst,"Ministry of Agriculture, Food and Agribusiness","Python, Research, Statistics, Organizational skills, No SQL",Guelph,ON,In Person,Not Applicable
Business Systems & Data Analyst,Mattr,"CRM software, Power BI, SQL, ERP systems, Tableau",Toronto,ON,In Person,Not Applicable
Supply Chain & Master Data Analyst,Longo's,"SQL, Microsoft Access, Supply chain, ERP systems, No SQL",Vaughan,ON,In Person,Not Applicable
